ID,Video Name,Release Date,Webpage URL,Video URL,Resolution,Video Length,FPS,Number of Frames,Date of Acquisition,File Size,Subtitles,Sentences,Tokens,Characters
125,heute journal-heute journal vom 23. Oktober 2022 (Gebärdensprache)-1056381971,2022-10-23,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-23-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221023_2145_sendung_hjo_dgs/1/221023_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,1677,25,41925,08/01/2022,104.98,485,292,3335,23341
126,heute journal-heute journal vom 24. Oktober 2022 (Gebärdensprache)-1028678863,2022-10-24,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-24-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221024_2215_t_hjo_dgs/1/221024_2215_t_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1906,72",25,47668,08/01/2022,102.8,540,305,3764,26584
127,heute journal-heute journal vom 25. Oktober 2022 (Gebärdensprache)-1281611369,2022-10-25,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-25-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221025_2145_sendung_hjo_dgs/1/221025_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,1784,25,44600,08/01/2022,130.68,519,272,3631,25212
128,heute journal-heute journal vom 26. Oktober 2022 (Gebärdensprache)-1844359257,2022-10-26,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-26-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221026_2145_sendung_hjo_dgs/1/221026_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1723,56",25,43089,08/01/2022,102.55,510,293,3457,24802
129,heute journal-heute journal vom 27. Oktober 2022 (Gebärdensprache)-1245019649,2022-10-27,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-27-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221027_2145_t_hjo_dgs/1/221027_2145_t_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1801,48",25,45037,08/01/2022,120.33,513,289,3613,25274
130,heute journal-heute journal vom 28. Oktober 2022 (Gebärdensprache)-1159575389,2022-10-28,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-28-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221028_2200_sendung_hjo_dgs/1/221028_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1743,36",25,43584,08/01/2022,100.37,535,302,3695,25567
131,heute journal-heute journal vom 29. Oktober 2022 (Gebärdensprache)-1480872454,2022-10-29,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-29-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221029_2245_sendung_hjo_dgs/4/221029_2245_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"879,28",25,21982,08/01/2022,53.89,246,131,1712,12036
132,heute journal-heute journal vom 30. Oktober 2022 (Gebärdensprache)-0047086173,2022-10-30,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-30-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221030_sendung_hjo_dgs/1/221030_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1797,16",25,44929,08/01/2022,108.39,520,303,3516,24296
133,heute journal-heute journal vom 31. Oktober 2022 (Gebärdensprache)-1515216909,2022-10-31,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-31-oktober-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/10/221031_2145_sendung_hjo_dgs/1/221031_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1755,92",25,43898,08/01/2022,100.99,517,291,3733,25620
134,heute journal-heute journal vom 1. November 2022 (Gebärdensprache)-1598574794,2022-11-01,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-1-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221101_2144_sendung_hjo_dgs/1/221101_2144_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1802,32",25,45058,08/01/2022,117.46,553,305,3918,27056
135,heute journal-heute journal vom 3. November 2022 (Gebärdensprache)-0790788936,2022-11-03,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-3-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221103_2145_sendung_hjo_dgs/1/221103_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1822,68",25,45567,08/01/2022,127.06,532,294,3676,25613
136,heute journal-heute journal vom 4. November 2022 (Gebärdensprache)-0306576134,2022-11-04,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-4-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221104_2200_sendung_hjo_dgs/1/221104_2200_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1749,64",25,43741,08/01/2022,126.43,518,293,3488,24359
137,heute journal-heute journal vom 5. November 2022 (Gebärdensprache)-0459838478,2022-11-05,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-5-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221105_2315_sendung_hjo_dgs/1/221105_2315_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"984,24",25,24606,08/01/2022,59.39,296,166,1952,13578
138,heute journal-heute journal vom 6. November 2022 (Gebärdensprache)-0002811650,2022-11-06,https://www.zdf.de/nachrichten/heute-journal/heute-journal-vom-6-november-2022-100.html,https://rodlzdf-a.akamaihd.net/none/zdf/22/11/221106_2145_sendung_hjo_dgs/1/221106_2145_sendung_hjo_dgs_2360k_p35v15.mp4,460.0 x 524.0,"1682,56",25,42064,08/01/2022,101.92,467,268,3257,22257
